unspecified
without
mention
specified
open
injury
complication
fracture
loss
condition
neoplasm
malignant
wound
antepartum
due
involving
tuberculosis
consciousness
closed
degree
intracranial
hemorrhage
delivered
acute
disorder
accident
poisoning
disease
sites
injuring
chronic
episode
examination
skull
care
site
body
found
disorders
multiple
infection
vehicle
postpartum
applicable
pregnancy
upper
elsewhere
bacilli
effects
bacteriological
tubercle
classified
lower
joint
motor
causing
diseases
nodes
history
type
lymph
level
region
third
limb
deep
use
burn
associated
syndrome
hours
histological
part
adverse
accidental
therapeutic
obstruction
face
cerebral
complicated
skin
laceration
congenital
benign
dislocation
affecting
eye
pre
contusion
hand
personal
mother
labor
complications
arthropathy
system
abortion
organs
prolonged
pelvic
cord
following
neck
existing
complicating
cavity
delivery
secondary
bones
return
anomalies
status
childbirth
conscious
foot
tissues
sputum
microscopy
confirmed
fetus
fetal
complete
heart
newborn
kidney
nature
effect
bone
puerperium
one
ulcer
cell
shoulder
conditions
screening
abnormal
collision
late
necrosis
occupant
acquired
tuberculous
abdominal
arm
remission
leg
traffic
moderate
failure
fractures
spinal
primary
surface
person
bacterial
toxic
inoculation
inflicted
ankle
base
induced
reaction
breast
respiratory
blood
underlying
forearm
central
transport
less
except
ear
head
genital
nervous
foreign
embolism
water
fall
thigh
pulmonary
subdural
subarachnoid
c
vault
extradural
partial
renal
migraine
state
stage
nerve
artery
tissue
caused
lung
perforation
whether
percent
traumatic
cervical
leukemia
vision
family
viral
organ
hodgkin
tract
brain
drug
diabetes
lymphoma
wrist
abscess
drugs
activities
urinary
aircraft
deficiency
impairment
lesion
concussion
carcinoma
infarction
unknown
uterus
anterior
suspected
abuse
female
incomplete
animals
nonspecific
recurrent
tumor
duration
hypertension
pneumonia
major
done
procedure
culture
alone
hour
histologically
hip
brief
accidentally
second
uncontrolled
peripheral
nontraffic
wall
methods
present
first
grams
animal
operations
railway
watercraft
mechanical
end
erythema
superficial
infections
sprain
trunk
dependence
intractable
war
agents
device
behavior
vaccination
management
localized
full
including
intra
venous
object
current
gland
arthritis
stenosis
abnormality
stated
liver
external
spleen
birth
knee
hepatitis
corneal
undetermined
powered
accidents
motorcycle
fever
excessive
retinal
sleep
amputation
intestine
pain
self
unilateral
severe
hernia
elbow
pelvis
infected
purposely
rupture
symptoms
bladder
intestinal
intrathoracic
finger
vertebra
adult
meningitis
exposure
epidermal
suicide
anomaly
generalized
surgery
thickness
posterior
contact
manifestations
trauma
cervix
situ
blisters
bilateral
gestation
otherwise
mixed
schizophrenia
prophylactic
thrombosis
problems
carcinoid
osteomyelitis
spontaneous
osteoarthrosis
cerebrovascular
mass
eyelid
graft
inflammatory
need
small
aftercare
glaucoma
adjustment
migrainosus
cataract
lip
vascular
inguinal
passenger
encephalitis
parts
syphilis
delayed
placenta
gonococcal
air
soft
veins
obstetrical
born
pedestrian
mental
internal
ligament
carrier
uncertain
colon
related
vagina
neoplasms
high
ii
vulva
gangrene
liveborn
hospital
femur
malnutrition
tendon
atrophy
implant
deformity
activity
stem
degeneration
cortex
total
encounter
